# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,2.385716e-005
1.000000e-003,1.848599e-005
2.000000e-003,2.452856e-005
3.000000e-003,1.378621e-005
4.000000e-003,-9.041290e-006
5.000000e-003,-1.340537e-005
6.000000e-003,-2.750470e-005
7.000000e-003,-6.141025e-005
8.000000e-003,-5.234639e-005
9.000000e-003,-3.556146e-005
1.000000e-002,-2.347632e-005
1.100000e-002,1.949308e-005
1.200000e-002,4.937025e-005
1.300000e-002,6.078400e-005
1.400000e-002,6.749797e-005
1.500000e-002,6.212679e-005
1.600000e-002,5.876981e-005
1.700000e-002,7.421194e-005
1.800000e-002,5.541282e-005
1.900000e-002,3.715257e-006
2.000000e-002,-1.776945e-005
2.100000e-002,-2.045503e-005
2.200000e-002,-3.119739e-005
2.300000e-002,-4.529672e-005
2.400000e-002,-5.268209e-005
2.500000e-002,-3.522577e-005
2.600000e-002,-3.119739e-005
2.700000e-002,-2.884749e-005
2.800000e-002,-2.246922e-005
2.900000e-002,-1.844085e-005
3.000000e-002,-1.655920e-006
3.100000e-002,5.742701e-005
3.200000e-002,6.011260e-005
3.300000e-002,4.386653e-006
3.400000e-002,-2.985460e-005
3.500000e-002,-4.663952e-005
3.600000e-002,-4.663952e-005
3.700000e-002,-3.656856e-005
3.800000e-002,-6.020000e-006
3.900000e-002,1.701065e-006
4.000000e-002,-9.845241e-007
4.100000e-002,-1.709805e-005
4.200000e-002,-1.655920e-006
4.300000e-002,1.580040e-005
4.400000e-002,2.553566e-005
4.500000e-002,1.042922e-005
4.600000e-002,3.379555e-006
4.700000e-002,-3.131279e-007
4.800000e-002,-1.139118e-005
4.900000e-002,-1.038408e-005
5.000000e-002,-3.334415e-006
5.100000e-002,2.372461e-006
5.200000e-002,1.029668e-006
5.300000e-002,2.708159e-006
5.400000e-002,3.715257e-006
5.500000e-002,7.743638e-006
5.600000e-002,9.757827e-006
5.700000e-002,7.072242e-006
5.800000e-002,8.415034e-006
5.900000e-002,7.072242e-006
6.000000e-002,8.415034e-006
6.100000e-002,8.750733e-006
6.200000e-002,6.065144e-006
6.300000e-002,-6.488260e-007
6.400000e-002,4.386653e-006
6.500000e-002,-6.488260e-007
6.600000e-002,-5.684302e-006
6.700000e-002,-2.663015e-006
6.800000e-002,2.036763e-006
6.900000e-002,5.393748e-006
7.000000e-002,2.372461e-006
7.100000e-002,-1.655920e-006
7.200000e-002,3.043857e-006
7.300000e-002,-2.998713e-006
7.400000e-002,-3.334415e-006
7.500000e-002,-4.341509e-006
7.600000e-002,-5.684302e-006
7.700000e-002,-5.012905e-006
7.800000e-002,-3.670113e-006
7.900000e-002,1.701065e-006
8.000000e-002,5.058050e-006
8.100000e-002,-2.998713e-006
8.200000e-002,-1.776945e-005
8.300000e-002,-1.306967e-005
8.400000e-002,2.372461e-006
8.500000e-002,1.949308e-005
8.600000e-002,2.889264e-005
8.700000e-002,2.184297e-005
8.800000e-002,2.184297e-005
8.900000e-002,1.311481e-005
9.000000e-002,-2.998713e-006
9.100000e-002,-1.776945e-005
9.200000e-002,-3.119739e-005
9.300000e-002,-3.254018e-005
9.400000e-002,-1.407676e-005
9.500000e-002,-1.374106e-005
9.600000e-002,-6.073885e-005
9.700000e-002,-4.731091e-005
9.800000e-002,8.415034e-006
9.900000e-002,4.869885e-005
1.000000e-001,5.608422e-005
1.010000e-001,4.869885e-005
