X[s],Avanti Sensor 1: Roll 1 [degrees],X[s],Avanti Sensor 1: Pitch 1 [degrees],X[s],Avanti Sensor 1: Yaw 1 [degrees]
2.415,-25.1733311911199,2.415,-0.2729750637295219,2.415,-85.763310220874
2.43,-27.561441430708776,2.43,-0.28951452230832764,2.43,-85.36487394950515
2.445,-31.749254634466,2.445,-0.2662164677938031,2.445,-86.02418227533015
2.46,-35.49943909449963,2.46,-0.00574839481167621,2.46,-86.72726241865256
2.475,-40.52731787884832,2.475,0.14135547226619088,2.475,-87.36470916587291
2.49,-43.62719914205169,2.49,0.060053327972923794,2.49,-87.57632746561505
2.505,-46.41983619883623,2.505,0.4783559802140826,2.505,-87.8071128426898
2.52,-49.54929583635566,2.52,0.34117439585651166,2.52,-87.29129161763069
2.535,-51.70479738922756,2.535,0.3921826040457465,2.535,-86.57308777842974
2.55,-54.009012420478385,2.55,0.5032574564653708,2.55,-85.06319168069587
2.565,-55.10721996496895,2.565,0.31823406701936924,2.565,-83.70733566877423
2.58,-56.130008856512845,2.58,0.21936400201728293,2.58,-82.43408857176414
2.595,-57.62395567887156,2.595,-0.18267507325097013,2.595,-81.01039059641595
2.61,-59.73003558227643,2.61,0.08923297330914012,2.61,-80.6859763973111
2.625,-63.97678799553717,2.625,1.0313393490079161,2.625,-80.63124488466792
2.64,-67.36652759808211,2.64,0.881396009682386,2.64,-79.84124405268683
2.655,-71.75256461838458,2.655,1.1544838808953362,2.655,-79.02453263770133
2.67,-78.83191193433787,2.67,0.9065763843605161,2.67,-78.35848155934376
2.685,-83.19899007777559,2.685,0.695699862937206,2.685,-80.56271743497834
2.7,-88.2905405070977,2.7,-0.13959556351053976,2.7,-84.54251541802422
2.715,-89.4088528822985,2.715,-0.6275843391104006,2.715,-85.2658568830674
2.73,-88.77775184252397,2.73,-0.7410957362362838,2.73,-84.42469945253961
2.745,-87.94113399714757,2.745,-0.5651431538001662,2.745,-84.08528055373435
2.76,-87.98019178097103,2.76,-0.4611585686143373,2.76,-84.876764315017
2.775,-87.7293003960532,2.775,-0.5451508504568201,2.775,-84.86211525143779
2.79,-87.94427907442567,2.79,-0.4187681701104114,2.79,-83.86691014496046
2.805,-87.9011538466643,2.805,-0.3863325446228087,2.805,-82.49866605669227
2.82,-87.7778577673175,2.82,-0.41876425785008914,2.82,-81.44940719182247
2.835,-87.55282855153253,2.835,-0.4100451652021387,2.835,-80.41533236400332
2.85,-87.28829976078227,2.85,-0.3734545036026017,2.85,-79.7120994897257
2.865,-87.57421726648448,2.865,-0.34838458845151404,2.865,-78.97726455513755
2.88,-87.82348047152138,2.88,-0.3193016268705425,2.88,-77.92573991253386
2.895,-87.80286189124374,2.895,-0.24584071003987173,2.895,-77.2862670836839
2.91,-87.76848882392876,2.91,-0.1477987894771624,2.91,-76.59418694222131
2.925,-87.76012883952379,2.925,-0.07314425821347414,2.925,-76.11157426546657
2.94,-87.74266381953788,2.94,0.004561496806016389,2.94,-75.6916852623113
2.955,-87.74160689316452,2.955,-0.00886275127974502,2.955,-74.92329567117336
2.97,-87.76396762125934,2.97,-0.0701599188015409,2.97,-74.33731922851528
2.985,-87.74632405365739,2.985,-0.022404551205363627,2.985,-73.3594421809968
3.0,-87.72751799784045,3.0,0.010421174617625853,3.0,-72.66947920769744
3.015,-87.68852523595795,3.015,0.14085023242502132,3.015,-71.96697943968537
3.03,-87.6607882570944,3.03,0.18207584184691525,3.03,-71.25198723069818
3.045,-87.65106553167195,3.045,0.14943117682236914,3.045,-70.91466529441692
3.06,-87.65577932651937,3.06,0.04803769015319736,3.06,-70.72766464808295
3.075,-87.66447954333104,3.075,0.054612274860987665,3.075,-70.56274743404914
3.09,-87.71045342765079,3.09,0.06057554308160311,3.09,-70.21190404997584
3.105,-87.64195782974953,3.105,0.018504901080751122,3.105,-69.93834052011461
3.12,-87.6022780739329,3.12,-0.03288828528286899,3.12,-69.623206149421
3.135,-87.566501710342,3.135,-0.09156123398156192,3.135,-69.24412467086734
3.15,-87.54359948349462,3.15,-0.12309150735512188,3.15,-68.94813222490075
3.165,-87.52669011314396,3.165,-0.16482100464573154,3.165,-68.48582957116479
3.18,-87.518816168384,3.18,-0.1744524134343429,3.18,-68.11317368318423
3.195,-87.50685879890888,3.195,-0.1804658204367736,3.195,-67.74949602045402
3.21,-87.49354000652666,3.21,-0.19407232034255203,3.21,-67.26839915831663
3.225,-87.48942705340792,3.225,-0.20409356291593278,3.225,-66.94465585520194
3.24,-87.47635642308687,3.24,-0.23147166466065408,3.24,-66.57058359879527
3.255,-87.47227502797746,3.255,-0.24553476346352773,3.255,-66.25868220743753
3.27,-87.46761335527788,3.27,-0.26873542798516165,3.27,-65.9701860344164
3.285,-87.45395976656145,3.285,-0.2723113613859373,3.285,-65.54135888496755
3.3,-87.43474293559332,3.3,-0.3053852003066617,3.3,-65.19928204185409
3.315,-87.41032531105995,3.315,-0.3015925165739946,3.315,-64.75416566833916
3.33,-87.37796307602453,3.33,-0.19669387819385847,3.33,-64.47791953465607
3.345,-87.34409578341594,3.345,0.0262923800527011,3.345,-64.06421004691376
3.36,-87.32242597628026,3.36,0.20529403312440325,3.36,-63.773376971299484
3.375,-87.30102050006278,3.375,0.41771262424094036,3.375,-63.47656959269657
3.39,-87.2744284885241,3.39,0.7658499721838077,3.39,-63.09035045386353
3.405,-87.26811579679057,3.405,1.0804757642351033,3.405,-62.82315091040989
3.42,-87.29135982921007,3.42,1.5733443449750324,3.42,-62.477390441666536
3.435,-87.34946216486027,3.435,1.9508328820186012,3.435,-62.20132481976845
3.45,-87.43650733521042,3.45,2.262051293998462,3.45,-61.92310943545132
3.465,-87.50554499096178,3.465,2.464592827674031,3.465,-61.56792982868785
3.48,-87.50517569229058,3.48,2.4788753522488745,3.48,-61.31426020876
3.495,-87.43971080208492,3.495,2.3202100079909416,3.495,-60.989780294497585
3.51,-87.34329360083366,3.51,2.04968276711282,3.51,-60.71223847674437
3.525,-87.24778626134975,3.525,1.5433013492337846,3.525,-60.37895525001702
3.54,-87.20889782306983,3.54,1.1726764323382106,3.54,-60.17997269893699
3.555,-87.18855014048508,3.555,0.8479011151492755,3.555,-59.952912458193914
3.57,-87.18451824782106,3.57,0.5221679229911499,3.57,-59.687038399478475
3.585,-87.18633788000334,3.585,0.37612121543906646,3.585,-59.49236847256318
3.6,-87.17584084198353,3.6,0.3064614298908363,3.6,-59.22471456882926
3.615,-87.1639963628127,3.615,0.35187284183912393,3.615,-59.033241662632356
3.63,-87.15460504455237,3.63,0.47697170847509784,3.63,-58.83351002158966
3.645,-87.12553637333336,3.645,0.7731833586727334,3.645,-58.58731630507662
3.66,-87.1282921810322,3.66,1.0851869239051397,3.66,-58.42237527189734
3.675,-87.15103073660488,3.675,1.5572058815611909,3.675,-58.18083643162773
3.69,-87.21544348396799,3.69,1.9129611097927977,3.69,-58.002397989884045
3.705,-87.32664290816527,3.705,2.238893637800547,3.705,-57.72450698495269
3.72,-87.35240925805046,3.72,2.33298644665814,3.72,-57.53964244123213
3.735,-87.33216740693973,3.735,2.2954647423328955,3.735,-57.34058165755744
3.75,-87.23671859337465,3.75,2.0599907926811993,3.75,-57.09912466398109
3.765,-87.15182158631819,3.765,1.7370592059644607,3.765,-56.929640707359745
3.78,-87.08134513408393,3.78,1.2612190843155995,3.78,-56.67957829523181
3.795,-87.06406794001431,3.795,0.9474147512324319,3.795,-56.510923061388795
3.81,-87.05712920790964,3.81,0.6765545637820698,3.81,-56.35736075890721
3.825,-87.05523307608817,3.825,0.4362087658777084,3.825,-56.17862383978981
3.84,-87.05220680844484,3.84,0.36261547120780563,3.84,-56.03995660574904
3.855,-87.04402701706846,3.855,0.3765180520464653,3.855,-55.8587314389301
3.87,-87.03028798201277,3.87,0.5027575561619493,3.87,-55.71312389030522
3.885,-87.02025471259095,3.885,0.7061027965527308,3.885,-55.557626277343054
3.9,-87.02520385021779,3.9,1.08105367229179,3.9,-55.356624346862134
3.915,-87.04351321094488,3.915,1.419772843944333,3.915,-55.20048391442237
3.93,-87.11478254688444,3.93,1.8659087783165567,3.93,-54.99919475501865
3.945,-87.1937387619133,3.945,2.1110019342064765,3.945,-54.84718319754641
3.96,-87.2301351627763,3.96,2.2252615250181544,3.96,-54.66008557681386
3.975,-87.21032174152884,3.975,2.1645364656035584,3.975,-54.52826170036209
3.99,-87.1355016999567,3.99,1.983015524931668,3.99,-54.39349994076113
4.005,-87.03143390469023,4.005,1.5614340744637618,4.005,-54.22240232891783
4.02,-86.99085919280131,4.02,1.2184160067394119,4.02,-54.11561445252635
4.035,-86.96620269203953,4.035,0.8178368485785187,4.035,-53.95885756729443
4.05,-86.9561616203009,4.05,0.5791979506057282,4.05,-53.83357401112776
4.065,-86.9533340279499,4.065,0.43000234031620593,4.065,-53.71490401663502
4.08,-86.94573364590913,4.08,0.36797550738750223,4.08,-53.57063497906827
4.095,-86.93368044879954,4.095,0.42152532700440504,4.095,-53.47844025133143
4.11,-86.91654126117864,4.11,0.626260664455602,4.11,-53.32131043156997
4.125,-86.9202124745758,4.125,0.8730976939552885,4.125,-53.21250986677503
4.14,-86.93370388989995,4.14,1.2752309420015224,4.14,-53.08954603500752
4.155,-86.9770923662398,4.155,1.5985154983295002,4.155,-53.04488646929306
4.17,-87.04637080877193,4.17,1.897047800669631,4.17,-52.92227884429688
4.185,-87.11265760746782,4.185,2.104778117866275,4.185,-52.75840896037153
4.2,-87.11470501433384,4.2,2.1084026960573676,4.2,-52.659977487285424
4.215,-87.04010639712685,4.215,1.9139364529765968,4.215,-52.51873207048365
4.23,-86.96547211239722,4.23,1.6248384007178278,4.23,-52.41297816118464
4.245,-86.90474069760945,4.245,1.2967991547412452,4.245,-52.28315238028891
4.26,-86.87933624508041,4.26,0.8835995195217594,4.26,-52.16224299485593
4.275,-86.8696504565166,4.275,0.6438461920891738,4.275,-52.071593791152935
4.29,-86.86609608440969,4.29,0.43108557786318064,4.29,-51.98935643807628
4.305,-86.86303756307369,4.305,0.3734162458250679,4.305,-51.93106141501361
4.32,-86.85461371304109,4.32,0.3982883059547784,4.32,-51.85642985029066
4.335,-86.84485518723461,4.335,0.5865305839184642,4.335,-51.74215689949013
4.35,-86.85082660187028,4.35,0.8075755129397322,4.35,-51.66029659921464
4.365,-86.86161877058144,4.365,1.1851514400538163,4.365,-51.577349320787
4.38,-86.89925432507373,4.38,1.4996381896847293,4.38,-51.50206833496426
4.395,-86.98356605750826,4.395,1.862256624659967,4.395,-51.41455316398663
4.41,-87.0215251875032,4.41,2.014654810294359,4.41,-51.336851621745055
4.425,-87.15668926372072,4.425,2.0099530610874354,4.425,-51.235837675388815
4.44,-87.26750835145593,4.44,1.8267061487452285,4.44,-50.881515605439986
4.455,-87.18391921361885,4.455,1.8092154322928198,4.455,-50.54203564508927
4.47,-86.90031866471202,4.47,1.9310950670305356,4.47,-50.053665319729326
4.485,-86.99636441754922,4.485,1.8492702497923073,4.485,-49.766483089623655
4.5,-87.02487505250672,4.5,1.880277892606816,4.5,-49.641470928602395
4.515,-87.01153600924242,4.515,1.832564641119762,4.515,-49.54449290491179
4.53,-87.02658355363728,4.53,1.7318264570981916,4.53,-49.17951888708881
4.545,-86.9534880913753,4.545,1.5154394439800885,4.545,-48.4475856796329
4.56,-86.92644488708751,4.56,1.327154889930214,4.56,-47.88250677227925
4.575,-86.89543860141764,4.575,1.1271192903672747,4.575,-47.5131075721491
4.59,-86.88620697748415,4.59,1.0883119265146068,4.59,-47.49302396497844
4.605,-86.88242621523797,4.605,1.0760635898423798,4.605,-47.49373638282301
4.62,-86.87114044812601,4.62,0.9386853497765926,4.62,-47.88778049130937
4.635,-86.86244384765277,4.635,0.8569663980700309,4.635,-48.30906335420245
4.65,-86.85026222442376,4.65,0.7407580873527387,4.65,-48.79954383247906
4.665,-86.83512824061759,4.665,0.7189285690589095,4.665,-49.33834487251651
4.68,-86.85109050790545,4.68,0.7165418072289409,4.68,-49.609215909344904
4.695,-86.91858370988705,4.695,0.7627539070931626,4.695,-49.680307340124344
4.71,-87.04238819902884,4.71,0.838921566700842,4.71,-49.73132453842119
4.725,-87.28929315798536,4.725,0.9531241639903487,4.725,-49.747394608288914
4.74,-87.62592087570192,4.74,1.045660505019017,4.74,-50.03179620990476
4.755,-89.30281218364159,4.755,1.2014260080480894,4.755,-50.16553869105057
4.77,-91.00391219647427,4.77,1.2544605620449165,4.77,-49.84546279158921
4.785,-92.8353151516695,4.785,1.1645275983484544,4.785,-49.300377187986555
4.8,-94.66720846522439,4.8,1.1156564711257737,4.8,-49.04664125510333
4.815,-95.64281497648093,4.815,1.3189128048539682,4.815,-49.23255662310018
4.83,-96.91401707905803,4.83,1.691113089465931,4.83,-49.792930836347075
4.845,-98.33847487009234,4.845,1.7185066912763363,4.845,-50.03969464785839
4.86,-99.99252710385746,4.86,1.411650189379018,4.86,-50.10604324399922
4.875,-102.09532740480097,4.875,1.2258226264208163,4.875,-49.87546908026524
4.89,-103.67116751949142,4.89,0.9547774806591883,4.89,-49.57600705043896
4.905,-106.50917241318193,4.905,0.6205030740411777,4.905,-48.331042617193475
4.92,-110.41065276143996,4.92,0.8089180966048948,4.92,-47.131229334048115
4.935,-115.08445262470573,4.935,1.3582277296920164,4.935,-45.95787158801866
4.95,-119.67492370954415,4.95,2.131668547853592,4.95,-44.53341535300705
4.965,-121.66826806890398,4.965,2.5407039928982553,4.965,-43.48055522220165
4.98,-125.16900715590484,4.98,3.025583258049912,4.98,-42.526999224347854
4.995,-128.14117745985587,4.995,3.398329133080199,4.995,-41.834682015432925
5.01,-131.49786812088638,5.01,3.724351422175467,5.01,-41.340750651080796
5.025,-133.55878680412158,5.025,3.8175814636583607,5.025,-41.40096863970775
5.04,-135.2788291417178,5.04,3.9685160455095465,5.04,-41.200864658905495
5.055,-136.89016292564847,5.055,3.562513480534443,5.055,-41.22002599909531
5.07,-138.28110734681627,5.07,3.402846088833428,5.07,-41.27078034941929
5.085,-141.08993273903303,5.085,3.0710661260164476,5.085,-41.39479731836061
5.1,-143.12103606326994,5.1,3.0509161589163685,5.1,-40.99398898791802
5.115,-144.8173009552321,5.115,2.931176851494649,5.115,-40.31493919444977
5.13,-147.54490622869187,5.13,2.9396758197789565,5.13,-38.931378956330036
5.145,-149.78377466855247,5.145,1.9596929057241697,5.145,-38.12382141946425
5.16,-150.56779575133277,5.16,1.5256222138650875,5.16,-38.57174208382971
