# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 33000 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
3.40000e-002,-9.68289e-003,5.10000e-001,-1.81032e+000,5.10000e-001,-3.88171e-001,5.10000e-001,-9.41170e+001
3.50000e-002,-1.09847e-002,5.25000e-001,-1.80707e+000,5.25000e-001,-3.83675e-001,5.25000e-001,-9.41350e+001
3.60000e-002,-1.08441e-002,5.40000e-001,-1.80862e+000,5.40000e-001,-3.82207e-001,5.40000e-001,-9.41369e+001
3.70000e-002,-9.37169e-003,5.55000e-001,-1.80548e+000,5.55000e-001,-3.84729e-001,5.55000e-001,-9.41407e+001
3.80000e-002,-5.59475e-003,5.70000e-001,-1.80488e+000,5.70000e-001,-3.84451e-001,5.70000e-001,-9.41298e+001
3.90000e-002,-1.63787e-003,5.85000e-001,-1.80340e+000,5.85000e-001,-3.87100e-001,5.85000e-001,-9.41279e+001
4.00000e-002,1.97021e-003,6.00000e-001,-1.80294e+000,6.00000e-001,-3.84308e-001,6.00000e-001,-9.41634e+001
4.10000e-002,5.43462e-003,6.15000e-001,-1.80679e+000,6.15000e-001,-3.83236e-001,6.15000e-001,-9.41620e+001
4.20000e-002,8.80906e-003,6.30000e-001,-1.80484e+000,6.30000e-001,-3.83246e-001,6.30000e-001,-9.41656e+001
4.30000e-002,1.06843e-002,6.45000e-001,-1.80978e+000,6.45000e-001,-3.84389e-001,6.45000e-001,-9.41583e+001
4.40000e-002,1.05963e-002,6.60000e-001,-1.81109e+000,6.60000e-001,-3.85320e-001,6.60000e-001,-9.41407e+001
4.50000e-002,9.18706e-003,6.75000e-001,-1.81206e+000,6.75000e-001,-3.75164e-001,6.75000e-001,-9.41110e+001
4.60000e-002,6.26178e-003,6.90000e-001,-1.81438e+000,6.90000e-001,-3.76432e-001,6.90000e-001,-9.40930e+001
4.70000e-002,2.99007e-003,7.05000e-001,-1.81420e+000,7.05000e-001,-3.75886e-001,7.05000e-001,-9.40904e+001
4.80000e-002,-2.92393e-004,7.20000e-001,-1.81401e+000,7.20000e-001,-3.76309e-001,7.20000e-001,-9.41031e+001
4.90000e-002,-3.73062e-003,7.35000e-001,-1.81209e+000,7.35000e-001,-3.76687e-001,7.35000e-001,-9.41105e+001
5.00000e-002,-7.62371e-003,7.50000e-001,-1.81152e+000,7.50000e-001,-3.71639e-001,7.50000e-001,-9.41277e+001
5.10000e-002,-1.08068e-002,7.65000e-001,-1.81359e+000,7.65000e-001,-3.71886e-001,7.65000e-001,-9.41550e+001
5.20000e-002,-1.09867e-002,7.80000e-001,-1.80967e+000,7.80000e-001,-3.70478e-001,7.80000e-001,-9.41716e+001
5.30000e-002,-1.07380e-002,7.95000e-001,-1.81078e+000,7.95000e-001,-3.68196e-001,7.95000e-001,-9.41983e+001
5.40000e-002,-8.60261e-003,8.10000e-001,-1.80961e+000,8.10000e-001,-3.68899e-001,8.10000e-001,-9.42086e+001
5.50000e-002,-4.57389e-003,8.25000e-001,-1.81786e+000,8.25000e-001,-3.66371e-001,8.25000e-001,-9.42117e+001
5.60000e-002,-6.94896e-004,8.40000e-001,-1.81048e+000,8.40000e-001,-3.63180e-001,8.40000e-001,-9.41925e+001
5.70000e-002,2.92259e-003,8.55000e-001,-1.80742e+000,8.55000e-001,-3.67036e-001,8.55000e-001,-9.41971e+001
5.80000e-002,6.45045e-003,8.70000e-001,-1.80617e+000,8.70000e-001,-3.66173e-001,8.70000e-001,-9.41962e+001
5.90000e-002,9.61810e-003,8.85000e-001,-1.80708e+000,8.85000e-001,-3.64430e-001,8.85000e-001,-9.41772e+001
6.00000e-002,1.07971e-002,9.00000e-001,-1.80641e+000,9.00000e-001,-3.66457e-001,9.00000e-001,-9.41844e+001
6.10000e-002,1.03915e-002,9.15000e-001,-1.80826e+000,9.15000e-001,-3.71101e-001,9.15000e-001,-9.41822e+001
6.20000e-002,8.37601e-003,9.30000e-001,-1.80574e+000,9.30000e-001,-3.71708e-001,9.30000e-001,-9.41858e+001
6.30000e-002,5.28356e-003,9.45000e-001,-1.80479e+000,9.45000e-001,-3.72260e-001,9.45000e-001,-9.41855e+001
6.40000e-002,2.04340e-003,9.60000e-001,-1.80106e+000,9.60000e-001,-3.71256e-001,9.60000e-001,-9.41709e+001
6.50000e-002,-1.24779e-003,9.75000e-001,-1.79983e+000,9.75000e-001,-3.64517e-001,9.75000e-001,-9.41613e+001
6.60000e-002,-4.70582e-003,9.90000e-001,-1.79436e+000,9.90000e-001,-3.66870e-001,9.90000e-001,-9.41492e+001
6.70000e-002,-8.70063e-003,1.00500e+000,-1.78793e+000,1.00500e+000,-3.64913e-001,1.00500e+000,-9.41121e+001
6.80000e-002,-1.09716e-002,1.02000e+000,-1.78728e+000,1.02000e+000,-3.66714e-001,1.02000e+000,-9.41081e+001
6.90000e-002,-1.09079e-002,1.03500e+000,-1.78700e+000,1.03500e+000,-3.64761e-001,1.03500e+000,-9.41257e+001
7.00000e-002,-1.01713e-002,1.05000e+000,-1.78916e+000,1.05000e+000,-3.62906e-001,1.05000e+000,-9.41756e+001
7.10000e-002,-6.89860e-003,1.06500e+000,-1.79057e+000,1.06500e+000,-3.62610e-001,1.06500e+000,-9.41997e+001
7.20000e-002,-2.86384e-003,1.08000e+000,-1.79469e+000,1.08000e+000,-3.59685e-001,1.08000e+000,-9.41919e+001
7.30000e-002,8.59724e-004,1.09500e+000,-1.79028e+000,1.09500e+000,-3.58919e-001,1.09500e+000,-9.41940e+001
7.40000e-002,4.44868e-003,1.11000e+000,-1.79149e+000,1.11000e+000,-3.60128e-001,1.11000e+000,-9.41805e+001
7.50000e-002,7.98492e-003,1.12500e+000,-1.78981e+000,1.12500e+000,-3.58782e-001,1.12500e+000,-9.41777e+001
7.60000e-002,1.05205e-002,1.14000e+000,-1.78843e+000,1.14000e+000,-3.58411e-001,1.14000e+000,-9.41736e+001
7.70000e-002,1.07111e-002,1.15500e+000,-1.78887e+000,1.15500e+000,-3.54188e-001,1.15500e+000,-9.41560e+001
7.80000e-002,1.00652e-002,1.17000e+000,-1.78936e+000,1.17000e+000,-3.52326e-001,1.17000e+000,-9.41551e+001
7.90000e-002,7.56429e-003,1.18500e+000,-1.79175e+000,1.18500e+000,-3.47529e-001,1.18500e+000,-9.41799e+001
8.00000e-002,4.34058e-003,1.20000e+000,-1.79510e+000,1.20000e+000,-3.43935e-001,1.20000e+000,-9.41835e+001
8.10000e-002,1.04839e-003,1.21500e+000,-1.79679e+000,1.21500e+000,-3.42206e-001,1.21500e+000,-9.42296e+001
8.20000e-002,-2.35560e-003,1.23000e+000,-1.79692e+000,1.23000e+000,-3.39945e-001,1.23000e+000,-9.42595e+001
8.30000e-002,-5.99725e-003,1.24500e+000,-1.79761e+000,1.24500e+000,-3.41829e-001,1.24500e+000,-9.42586e+001
8.40000e-002,-9.86282e-003,1.26000e+000,-1.79823e+000,1.26000e+000,-3.45317e-001,1.26000e+000,-9.42469e+001
8.50000e-002,-1.09854e-002,1.27500e+000,-1.79366e+000,1.27500e+000,-3.49442e-001,1.27500e+000,-9.42254e+001
8.60000e-002,-1.08629e-002,1.29000e+000,-1.79270e+000,1.29000e+000,-3.54083e-001,1.29000e+000,-9.42114e+001
8.70000e-002,-9.49087e-003,1.30500e+000,-1.79154e+000,1.30500e+000,-3.54684e-001,1.30500e+000,-9.41962e+001
8.80000e-002,-5.75387e-003,1.32000e+000,-1.78667e+000,1.32000e+000,-3.52592e-001,1.32000e+000,-9.41830e+001
8.90000e-002,-1.83996e-003,1.33500e+000,-1.79219e+000,1.33500e+000,-3.47064e-001,1.33500e+000,-9.41892e+001
9.00000e-002,1.77484e-003,1.35000e+000,-1.78766e+000,1.35000e+000,-3.47056e-001,1.35000e+000,-9.41885e+001
9.10000e-002,5.31310e-003,1.36500e+000,-1.78974e+000,1.36500e+000,-3.43636e-001,1.36500e+000,-9.41869e+001
9.20000e-002,8.73588e-003,1.38000e+000,-1.78522e+000,1.38000e+000,-3.47484e-001,1.38000e+000,-9.41885e+001
9.30000e-002,1.06547e-002,1.39500e+000,-1.78390e+000,1.39500e+000,-3.45739e-001,1.39500e+000,-9.42165e+001
