# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,8.535558e-006
1.000000e-003,2.330629e-005
2.000000e-003,1.726372e-005
3.000000e-003,-1.535397e-006
4.000000e-003,8.871256e-006
5.000000e-003,2.867747e-005
6.000000e-003,1.457813e-005
7.000000e-003,-4.556684e-006
8.000000e-003,-4.484050e-005
9.000000e-003,-6.598951e-005
1.000000e-002,-3.711944e-005
1.100000e-002,3.102736e-005
1.200000e-002,4.143401e-005
1.300000e-002,1.289964e-005
1.400000e-002,-1.697753e-005
1.500000e-002,-1.798462e-005
1.600000e-002,-2.436290e-005
1.700000e-002,-1.160635e-005
1.800000e-002,5.178573e-006
1.900000e-002,3.740563e-005
2.000000e-002,5.654044e-005
2.100000e-002,-3.644804e-005
2.200000e-002,-4.383341e-005
2.300000e-002,1.485890e-006
2.400000e-002,1.659232e-005
2.500000e-002,-8.249363e-006
2.600000e-002,-1.093496e-005
2.700000e-002,6.661140e-005
2.800000e-002,1.927791e-005
2.900000e-002,-3.141256e-005
3.000000e-002,-6.699660e-005
3.100000e-002,-7.639616e-005
3.200000e-002,-5.793274e-005
3.300000e-002,-7.577967e-006
3.400000e-002,4.244110e-005
3.500000e-002,7.433246e-005
3.600000e-002,1.126021e-004
3.700000e-002,1.065595e-004
3.800000e-002,4.646949e-005
3.900000e-002,7.528464e-006
4.000000e-002,-4.047642e-005
4.100000e-002,-3.812653e-005
4.200000e-002,-1.764893e-005
4.300000e-002,-3.779084e-005
4.400000e-002,-8.747420e-005
4.500000e-002,-4.886888e-005
4.600000e-002,4.613379e-005
4.700000e-002,1.552358e-004
4.800000e-002,1.270371e-004
4.900000e-002,2.229920e-005
5.000000e-002,1.150192e-006
5.100000e-002,3.835781e-006
5.200000e-002,-6.330391e-005
5.300000e-002,-1.076161e-004
5.400000e-002,-6.666090e-005
5.500000e-002,-4.752609e-005
5.600000e-002,-8.378152e-005
5.700000e-002,-3.510524e-005
5.800000e-002,1.457813e-005
5.900000e-002,2.532048e-005
6.000000e-002,3.606283e-005
6.100000e-002,2.263489e-005
6.200000e-002,6.521366e-006
6.300000e-002,-2.604139e-005
6.400000e-002,-8.249363e-006
6.500000e-002,2.492984e-006
6.600000e-002,-2.033451e-005
6.700000e-002,-1.563474e-005
6.800000e-002,1.726372e-005
6.900000e-002,1.390673e-005
7.000000e-002,-3.549589e-006
7.100000e-002,1.390673e-005
7.200000e-002,2.498478e-005
7.300000e-002,9.878351e-006
7.400000e-002,-1.261345e-005
7.500000e-002,-1.832032e-005
7.600000e-002,-2.033451e-005
7.700000e-002,-3.208396e-005
7.800000e-002,-4.987598e-005
7.900000e-002,-4.987598e-005
8.000000e-002,-8.920767e-006
8.100000e-002,2.229920e-005
8.200000e-002,4.344820e-005
8.300000e-002,7.466816e-005
8.400000e-002,6.828989e-005
8.500000e-002,6.224731e-005
8.600000e-002,4.277680e-005
8.700000e-002,2.800607e-005
8.800000e-002,1.021405e-005
8.900000e-002,-1.865602e-005
9.000000e-002,-5.994693e-005
9.100000e-002,-6.263252e-005
9.200000e-002,-4.014072e-005
9.300000e-002,-1.093496e-005
9.400000e-002,2.492984e-006
9.500000e-002,3.706993e-005
9.600000e-002,7.533956e-005
9.700000e-002,5.620474e-005
9.800000e-002,-1.227775e-005
9.900000e-002,-5.994693e-005
1.000000e-001,-5.121877e-005
1.010000e-001,-2.302010e-005
1.020000e-001,1.155684e-005
1.030000e-001,6.258301e-005
1.040000e-001,6.426151e-005
1.050000e-001,2.397769e-005
1.060000e-001,-3.913363e-005
1.070000e-001,-1.932742e-005
1.080000e-001,6.185668e-006
1.090000e-001,-1.362054e-005
1.100000e-001,-1.630613e-005
1.110000e-001,-2.771988e-005
1.120000e-001,-5.155447e-005
1.130000e-001,-3.913363e-005
1.140000e-001,7.192766e-006
1.150000e-001,2.532048e-005
1.160000e-001,1.860651e-005
1.170000e-001,1.927791e-005
1.180000e-001,6.828989e-005
1.190000e-001,5.318346e-005
1.200000e-001,5.514271e-006
1.210000e-001,-2.067021e-005
1.220000e-001,-1.127065e-005
1.230000e-001,-6.235174e-006
1.240000e-001,-1.093496e-005
1.250000e-001,-5.491145e-005
1.260000e-001,-5.524715e-005
1.270000e-001,-4.047642e-005
1.280000e-001,-6.196112e-005
1.290000e-001,1.256394e-005
1.300000e-001,2.095640e-005
1.310000e-001,6.521366e-006
1.320000e-001,2.699897e-005
1.330000e-001,4.680518e-005
1.340000e-001,2.934886e-005
1.350000e-001,5.049787e-005
1.360000e-001,3.203445e-005
1.370000e-001,3.002026e-005
1.380000e-001,-6.906571e-006
1.390000e-001,-3.443385e-005
1.400000e-001,-4.014072e-005
