# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,-1.535397e-006
1.000000e-003,-3.885287e-006
2.000000e-003,-2.206793e-006
3.000000e-003,-4.220985e-006
4.000000e-003,-5.563778e-006
5.000000e-003,-3.549589e-006
6.000000e-003,-5.283024e-007
7.000000e-003,2.157286e-006
8.000000e-003,5.178573e-006
9.000000e-003,3.835781e-006
1.000000e-002,2.492984e-006
1.100000e-002,-2.878189e-006
1.200000e-002,-1.535397e-006
1.300000e-002,-1.926043e-007
1.400000e-002,1.821588e-006
1.500000e-002,-8.640005e-007
1.600000e-002,-2.878189e-006
1.700000e-002,-1.535397e-006
1.800000e-002,-2.878189e-006
1.900000e-002,-2.878189e-006
2.000000e-002,-1.926043e-007
2.100000e-002,-8.640005e-007
2.200000e-002,-2.206793e-006
2.300000e-002,4.787956e-007
2.400000e-002,-1.926043e-007
2.500000e-002,-2.878189e-006
2.600000e-002,-4.220985e-006
2.700000e-002,-1.199699e-006
2.800000e-002,1.430939e-007
2.900000e-002,-2.878189e-006
3.000000e-002,-1.926043e-007
3.100000e-002,8.144938e-007
3.200000e-002,-1.871095e-006
3.300000e-002,-1.535397e-006
3.400000e-002,1.821588e-006
3.500000e-002,4.787956e-007
3.600000e-002,3.500079e-006
3.700000e-002,2.828683e-006
3.800000e-002,5.849969e-006
3.900000e-002,4.507177e-006
4.000000e-002,1.625662e-005
4.100000e-002,3.835781e-006
4.200000e-002,-1.597043e-005
4.300000e-002,-1.496333e-005
4.400000e-002,-1.697753e-005
4.500000e-002,-2.167730e-005
4.600000e-002,-6.235174e-006
4.700000e-002,1.860651e-005
4.800000e-002,1.625662e-005
4.900000e-002,2.968456e-005
5.000000e-002,1.827081e-005
5.100000e-002,-2.878189e-006
5.200000e-002,-1.496333e-005
5.300000e-002,-4.954028e-005
5.400000e-002,-2.033451e-005
5.500000e-002,2.330629e-005
5.600000e-002,2.532048e-005
5.700000e-002,-2.503429e-005
5.800000e-002,-5.222587e-005
5.900000e-002,-8.585068e-006
6.000000e-002,4.076261e-005
6.100000e-002,3.706993e-005
6.200000e-002,3.069166e-005
6.300000e-002,3.304155e-005
6.400000e-002,5.217636e-005
6.500000e-002,4.613379e-005
6.600000e-002,3.203445e-005
6.700000e-002,1.088545e-005
6.800000e-002,-4.220985e-006
6.900000e-002,-2.335580e-005
7.000000e-002,-2.738418e-005
7.100000e-002,-3.980502e-005
7.200000e-002,-2.704848e-005
7.300000e-002,-9.592163e-006
7.400000e-002,-4.892382e-006
7.500000e-002,-1.194205e-005
7.600000e-002,-1.932742e-005
7.700000e-002,-1.127065e-005
7.800000e-002,1.189254e-005
7.900000e-002,2.062070e-005
8.000000e-002,3.069166e-005
8.100000e-002,2.229920e-005
8.200000e-002,-7.577967e-006
8.300000e-002,-2.878189e-006
8.400000e-002,-5.283024e-007
8.500000e-002,-3.376245e-005
8.600000e-002,-6.330391e-005
8.700000e-002,-8.344582e-005
8.800000e-002,-4.249061e-005
8.900000e-002,-4.556684e-006
9.000000e-002,1.558523e-005
9.100000e-002,6.291871e-005
9.200000e-002,3.404864e-005
9.300000e-002,-8.249363e-006
9.400000e-002,-1.630613e-005
9.500000e-002,-1.832032e-005
9.600000e-002,-2.335580e-005
9.700000e-002,-9.256465e-006
9.800000e-002,-1.926043e-007
9.900000e-002,-1.294914e-005
1.000000e-001,-1.563474e-005
1.010000e-001,-1.059926e-005
