# Label: Avanti Sensor 1: EMG 1->RMS Sampling frequency: 1.063830e+001 Number of points: 229 X start: 5.000000e-002 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMS [V]
1.819200e+001,7.134735e-006
1.828600e+001,5.599344e-006
1.838000e+001,6.324740e-006
1.847400e+001,9.553898e-006
1.856800e+001,9.181983e-006
1.866200e+001,6.760745e-006
1.875600e+001,6.061869e-006
1.885000e+001,5.226711e-006
1.894400e+001,4.906579e-006
1.903800e+001,5.378850e-006
1.913200e+001,5.054173e-006
1.922600e+001,4.172165e-006
1.932000e+001,4.879384e-006
1.941400e+001,4.865075e-006
1.950800e+001,4.725608e-006
1.960200e+001,4.451921e-006
1.969600e+001,5.046547e-006
1.979000e+001,4.787202e-006
1.988400e+001,4.367952e-006
1.997800e+001,4.530557e-006
2.007200e+001,4.549853e-006
2.016600e+001,4.109170e-006
2.026000e+001,5.318954e-006
2.035400e+001,5.209328e-006
2.044800e+001,7.665509e-006
2.054200e+001,5.155121e-006
2.063600e+001,4.957989e-006
2.073000e+001,6.032215e-006
2.082400e+001,7.392803e-006
2.091800e+001,7.074309e-006
2.101200e+001,4.272690e-006
2.110600e+001,7.297797e-006
2.120000e+001,6.458146e-006
2.129400e+001,6.544215e-006
2.138800e+001,8.497787e-006
2.148200e+001,5.237651e-006
