# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: Pitch 1 [degrees],Avanti Sensor 1: Roll 1 [degrees],Avanti Sensor 1: Yaw 1 [degrees]
1.080000e+000,-9.162478e-001,-3.250619e-001,-1.473860e+001
1.095000e+000,-9.140804e-001,-3.266210e-001,-1.474119e+001
1.110000e+000,-9.178156e-001,-3.296332e-001,-1.473004e+001
1.125000e+000,-9.154047e-001,-3.271132e-001,-1.472342e+001
1.140000e+000,-9.138752e-001,-3.273365e-001,-1.470881e+001
1.155000e+000,-9.125229e-001,-3.249088e-001,-1.471492e+001
1.170000e+000,-9.125379e-001,-3.288576e-001,-1.473532e+001
1.185000e+000,-9.114950e-001,-3.331125e-001,-1.475893e+001
1.200000e+000,-9.112265e-001,-3.372953e-001,-1.476942e+001
1.215000e+000,-9.099934e-001,-3.358970e-001,-1.477902e+001
1.230000e+000,-9.111832e-001,-3.369835e-001,-1.480159e+001
1.245000e+000,-9.082268e-001,-3.411005e-001,-1.482174e+001
1.260000e+000,-9.047435e-001,-3.367495e-001,-1.482547e+001
1.275000e+000,-8.988846e-001,-3.412890e-001,-1.481967e+001
1.290000e+000,-9.033854e-001,-3.406094e-001,-1.480892e+001
1.305000e+000,-9.018608e-001,-3.418342e-001,-1.484507e+001
1.320000e+000,-9.021273e-001,-3.376893e-001,-1.484722e+001
1.335000e+000,-9.058937e-001,-3.365137e-001,-1.484625e+001
1.350000e+000,-9.070842e-001,-3.370843e-001,-1.483784e+001
1.365000e+000,-9.118602e-001,-3.350333e-001,-1.486059e+001
1.380000e+000,-9.057730e-001,-3.382437e-001,-1.486489e+001
1.395000e+000,-9.065783e-001,-3.344046e-001,-1.484883e+001
1.410000e+000,-9.086119e-001,-3.341690e-001,-1.484625e+001
1.425000e+000,-9.075244e-001,-3.393871e-001,-1.485731e+001
1.440000e+000,-9.083150e-001,-3.365407e-001,-1.486705e+001
1.455000e+000,-9.064348e-001,-3.349640e-001,-1.486557e+001
1.470000e+000,-9.073938e-001,-3.336711e-001,-1.487873e+001
1.485000e+000,-9.040428e-001,-3.376441e-001,-1.486740e+001
1.500000e+000,-9.055199e-001,-3.362320e-001,-1.487043e+001
1.515000e+000,-9.080383e-001,-3.377006e-001,-1.486187e+001
1.530000e+000,-9.095734e-001,-3.371624e-001,-1.486350e+001
1.545000e+000,-9.106110e-001,-3.343658e-001,-1.488440e+001
1.560000e+000,-9.136448e-001,-3.374634e-001,-1.490173e+001
1.575000e+000,-9.121085e-001,-3.407883e-001,-1.489302e+001
1.590000e+000,-9.150385e-001,-3.352523e-001,-1.490342e+001
1.605000e+000,-9.108367e-001,-3.319304e-001,-1.490229e+001
1.620000e+000,-9.078248e-001,-3.346545e-001,-1.489772e+001
1.635000e+000,-9.096676e-001,-3.380984e-001,-1.488942e+001
1.650000e+000,-9.083993e-001,-3.373639e-001,-1.488551e+001
1.665000e+000,-9.156163e-001,-3.368768e-001,-1.489505e+001
1.680000e+000,-9.125623e-001,-3.368032e-001,-1.489460e+001
1.695000e+000,-9.149768e-001,-3.408234e-001,-1.492525e+001
1.710000e+000,-9.136947e-001,-3.434479e-001,-1.491786e+001
1.725000e+000,-9.156302e-001,-3.427807e-001,-1.491780e+001
1.740000e+000,-9.132956e-001,-3.433619e-001,-1.491287e+001
1.755000e+000,-9.116792e-001,-3.456168e-001,-1.491529e+001
1.770000e+000,-9.176812e-001,-3.429975e-001,-1.486146e+001
1.785000e+000,-9.185548e-001,-3.396711e-001,-1.484995e+001
1.800000e+000,-9.194499e-001,-3.362981e-001,-1.480399e+001
1.815000e+000,-9.181795e-001,-3.385139e-001,-1.477681e+001
1.830000e+000,-9.210900e-001,-3.345125e-001,-1.477383e+001
1.845000e+000,-9.253886e-001,-3.346626e-001,-1.475811e+001
1.860000e+000,-9.242280e-001,-3.359815e-001,-1.474685e+001
1.875000e+000,-9.256580e-001,-3.328776e-001,-1.473456e+001
1.890000e+000,-9.279911e-001,-3.408124e-001,-1.473455e+001
1.905000e+000,-9.335755e-001,-3.413898e-001,-1.475469e+001
1.920000e+000,-9.292237e-001,-3.460997e-001,-1.475320e+001
1.935000e+000,-9.295024e-001,-3.448631e-001,-1.474118e+001
1.950000e+000,-9.347321e-001,-3.444632e-001,-1.474963e+001
1.965000e+000,-9.347309e-001,-3.491597e-001,-1.473073e+001
1.980000e+000,-9.370775e-001,-3.442321e-001,-1.474632e+001
1.995000e+000,-9.433719e-001,-3.467182e-001,-1.475115e+001
2.010000e+000,-9.414843e-001,-3.426280e-001,-1.479033e+001
2.025000e+000,-9.440861e-001,-3.444664e-001,-1.480364e+001
2.040000e+000,-9.399723e-001,-3.451394e-001,-1.483559e+001
2.055000e+000,-9.395653e-001,-3.459974e-001,-1.482422e+001
2.070000e+000,-9.390041e-001,-3.471616e-001,-1.482981e+001
2.085000e+000,-9.425346e-001,-3.480713e-001,-1.483451e+001
2.100000e+000,-9.452552e-001,-3.478630e-001,-1.483411e+001
2.115000e+000,-9.455959e-001,-3.465880e-001,-1.483181e+001
2.130000e+000,-9.513389e-001,-3.434859e-001,-1.483694e+001
2.145000e+000,-9.542104e-001,-3.462993e-001,-1.484763e+001
2.160000e+000,-9.556164e-001,-3.435314e-001,-1.486971e+001
2.175000e+000,-9.545195e-001,-3.445349e-001,-1.486794e+001
2.190000e+000,-9.497176e-001,-3.417277e-001,-1.484386e+001
2.205000e+000,-9.531126e-001,-3.433466e-001,-1.485428e+001
2.220000e+000,-9.494709e-001,-3.468781e-001,-1.487703e+001
2.235000e+000,-9.458975e-001,-3.401034e-001,-1.486414e+001
2.250000e+000,-9.444250e-001,-3.415933e-001,-1.486764e+001
2.265000e+000,-9.447306e-001,-3.401664e-001,-1.488436e+001
2.280000e+000,-9.455074e-001,-3.444732e-001,-1.489349e+001
2.295000e+000,-9.418024e-001,-3.457080e-001,-1.490009e+001
2.310000e+000,-9.405028e-001,-3.425024e-001,-1.489152e+001
2.325000e+000,-9.388194e-001,-3.422497e-001,-1.489648e+001
2.340000e+000,-9.382598e-001,-3.402741e-001,-1.490949e+001
2.355000e+000,-9.415393e-001,-3.425488e-001,-1.491347e+001
2.370000e+000,-9.418890e-001,-3.426118e-001,-1.491152e+001
2.385000e+000,-9.423379e-001,-3.459180e-001,-1.490403e+001
2.400000e+000,-9.403213e-001,-3.514308e-001,-1.489727e+001
2.415000e+000,-9.426557e-001,-3.470917e-001,-1.492141e+001
2.430000e+000,-9.428738e-001,-3.519648e-001,-1.490444e+001
2.445000e+000,-9.414124e-001,-3.545587e-001,-1.488243e+001
2.460000e+000,-9.359957e-001,-3.530595e-001,-1.491326e+001
2.475000e+000,-9.340413e-001,-3.535286e-001,-1.489308e+001
2.490000e+000,-9.330735e-001,-3.497050e-001,-1.487301e+001
